stock_code	Model	Desc1	Desc2	Brand	SupplierSKU	web_info_text	web_info_feature#1	web_info_feature#2	web_info_feature#3	web_info_feature#4	web_info_feature#5	web_info_feature#6	web_info_feature#7	PriceMSRP	PriceRetailInc	QtyBreak1	QtyPrice1	QtyBreak2	QtyPrice2	QtyBreak3	QtyPrice3	QOH	ETA	web_image#01	web_image#02	web_image#03	web_image#04	web_image#05	CategoryCode	web_category#1	web_category#2	web_category#3	web_category#4	web_cat_code#1	web_cat_code#2	web_cat_code#3	web_cat_code#4	OnSale	Rank	Weight	Barcode	ProductURL	ProductHTML
161020	AP12	REPLACEMENT CAR MAST	"AP2, 3, 4, 5, 6, 7, 8, 10, 10A"	AERPRO	01MMSA100	Replacement mast to suit Aerpro automatic antennas.	5 section stainless steel mast	Extends to 97cm	Mast diameter 9mm	Retracted length 260mm	Sleeve diameter 10.5mm	Sleeve length 77mm	"Also Suits Ford Falcon XA-XF, EA-EL & AU"	0	10	1	9.9	2	9.8	3	9.7	3							EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0	0.154	9.31711E+12		"Aerpro AP12 replacement mast  <ul>   <li>Replacement mast to suit Aerpro automatic antennas</li>   <li>5 section stainless steel mast</li>  <li>Extends to 97cm</li>   <li>Mast Diameter: 9mm</li>   <li>Retracted Length: 260mm</li>  <li>Sleeve Diameter: 10.5mm</li>  <li>Sleeve Length: 77mm</li> </ul>  To suit models:<br>  AP2, AP3, AP4, AP5, AP6, AP7, AP8, AP10, AP10A, AP11,�<br> AP176, AP178, AP180, AP190, AP197 &amp; APVT1F,<br> Also Suits Ford Falcon XA-XF, EA-EL &amp; AU�"
162053	AP62	UNIVERSAL 5 SECTION CAR AERIAL	LOCKDOWN SIDE KEY AERPRO	AERPRO	27AHW	"Universal 5 section lockdown, side key car antenna."	Adjustable 0-30� headkit for 25mm hole	Cable 120cm	Under fender: 270mm	Supplied with installation instructions	Side Key Lock			0	10	1	9.9	2	9.8	3	9.7	3							EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0.189	9.31711E+12		"<b>Universal 5 section lockdown, side key car antenna</b> <ul>  <li>Adjustable 0-30&deg; headkit for 25mm hole</li> <li>5 section stainless steel mast</li> <li>Extends to 100cm</li>  <li>Cable Length: 120cm</li>  <li>Under fender: 270mm</li>  <li>Packed in hang sell, full colour blister</li> <li>Supplied with installation instructions</li> <li>Side Key Lock</li>  <li>12 Month Warranty</li>  </ul>"
162813	AP70	GUARD MOUNT LOCKDOWN AERIAL	SUITS VN-VS COMMODORE AERPRO	AERPRO	27AHW	"Guard Mount, Lockdown Car Antenna."	Suits Holden Commodore VN-VS 08/1988-08/1997	Top key lockdown with custom headkit	5 section stainless steel mast	Extends to 97cm	Cable 42cm	"Packed in hang sell, full colour blister"	Supplied with installation instructions	0	10	1	9.9	2	9.8	3	9.7	3							EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO		EE	EE20	EE2030			0	0	9.31711E+12		"<b>Guard mount, lockdown car antenna</b> <ul>  <li>Suits Holden Commodore VN-VS 08/1988-08/1997</li> <li>Top key lockdown with custom headkit</li> <li>5 section stainless steel mast</li> <li>Extends to 97cm</li>  <li>Cable Length: 42cm</li>  <li>Packed in hang sell, full colour blister</li> <li>Supplied with installation instructions</li> <li>12 Month Warranty</li>  </ul>"
162820	AP71	GUARD MOUNT LOCKDOWN AERIAL	SUITS VT-VY COMMODORE AERPRO	AERPRO	27AHW	"Guard Mount, Lockdown Car Antenna."	Suits Holden Commodore VT-VY (10/1997-07/2004)	Top key lockdown	5 section stainless steel mast	Extends to 98cm	Cable Length 43cm	"Packed in hang sell, full colour blister"	12 Month Warranty	0	10	1	9.9	2	9.8	3	9.7	3							EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO		EE	EE20	EE2030			0	0.202	9.3282E+12		"<b>Guard mount, lockdown car antenna</b> <ul>  <li>Suits Holden Commodore VT-VY (10/1997-07/2004)</li> <li>Top key lockdown</li>  <li>5 section stainless steel mast</li> <li>Extends to 98cm</li>  <li>Cable Length: 43cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>"
163200	AP40	UNIVERSAL TOPSIDE MOUNT AERIAL	SPRING BALL CAR BASE AERPRO	AERPRO	AP40	"Universal top/side mount, spring ball base car antenna."	Adjustable split ball base for 25mm hole	Spring to protect from overhead damage	Spring ball base 180� adjustable	3 section stainless steel mast	Extends to 100cm	Collapsed Length: 541mm	Cable Length: 137cm	0	10	1	9.9	2	9.8	3	9.7	3							EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0.332	9.31711E+12		"<b>Universal top/side mount, spring ball base car antenna</b>  <ul>  <li>Adjustable split ball base for 25mm hole</li> <li>Spring to protect from overhead damage</li> <li>Spring Ball Base 180&#176 adjustable</li> <li>3 section stainless steel mast</li> <li>Extends to 100cm</li>  <li>Collapsed Length: 541mm</li> <li>Cable Length: 137cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>"
163621	AP102	UNIVERSAL RUBBER DUCKY AERIAL	FM  ANTENNA AERPRO	AERPRO	ZD929C	"Universal ""Rubber Ducky"" top mount car Antenna."	"Adjustable split ball head kit, suits 25mm hole"	"Cable attaches at 90�, ideal for installations with limited space"	1 section black rubber mast	Length 36cm	Cable Length: 127cm	12 Month Warranty		0	10	1	9.9	3	9.8	5	9.7	3							EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0.226	9.31711E+12		"<b>Universal ""Rubber Ducky"" top mount car antenna</b> <ul>  <li>Adjustable split ball head kit, suits 25mm hole</li> <li>Cable attaches at 90&#176, ideal for installations with limited space</li>  <li>1 section black rubber mast</li> <li>Length 36cm</li>  <li>Cable Length: 127cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>"
164032	AP122	UNIVERSAL CENTRE PILLAR AERIAL	CAR MOUNT AERPRO	AERPRO	AP122	"Universal centre pillar mount - external, 3 section car antenna."	Popular model for early Japanese models	3 section stainless steel mast	Extends to 126cm	Cable Length: 127cm	12 Month Warranty			0	10	1	9.9	2	9.8	3	9.7	3	19-Apr-18						EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0.178	9.31711E+12		"<B>Universal centre pillar mount - external, 3 section car antenna</b>  <ul>  <li>Popular model for early Japanese models</li> <li>3 section stainless steel mast</li> <li>Extends to 126cm</li>  <li>Cable Length: 127cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>"
164096	AP120	UNIVERSAL OFFSET PILLAR AERIAL	CAR MOUNT AERPRO	AERPRO	AP120	Universal offset pillar mount car antenna.	Popular model for early Japanese models	3 section stainless steel mast	Extends to 126cm	Cable Length: 165cm	12 Month Warranty			0	10	1	9.9	2	9.8	3	9.7	3							EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0.207	9.31711E+12		"<b>Universal offset pillar mount car antenna</b> <ul>  <li>Popular model for early Japanese models</li> <li>3 section stainless steel mast</li> <li>Extends to 126cm</li>  <li>Cable Length: 165cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>"
164120	AP68	GUARD MOUNT LOCKDOWN AERIAL	SUITS FALCON CARS AERPRO	AERPRO	AP68	"Guard mount, lockdown car antenna."	Suits Ford Falcon EA-ED (03/88-08/94)	5 section stainless steel mast	Top key lockdown with custom headkit	Extends to 98cm	Cable Length: 53cm	12 Month Warranty		0	10	1	9.9	2	9.8	3	9.7	3							EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0	9.31711E+12		"<b>Guard mount, lockdown car antenna</b> <ul>  <li>Suits Ford Falcon EA-ED (03/88-08/94)</li> <li>5 section stainless steel mast</li> <li>Top key lockdown with custom headkit</li> <li>Extends to 98cm</li>  <li>Cable Length: 53cm</li>  <li>Packed in hang sell, full colour blister </li> <li>12 Month Warranty</li>  </ul>"
164125	AP69	GUARD MOUNT LOCKDOWN AERIAL	SUITS FALCON CARS AERPRO	AERPRO	AP69	"Guard mount, lockdown car antenna."	Suits Ford Falcon EF-EL (08/94-08/98)	5 section stainless steel mast	Top key lockdown	Extends to 100cm	Cable Length: 53cm	12 Month Warranty		0	10	1	9.9	2	9.8	3	9.7	3							EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0.213	9.31711E+12		"<B>Guard mount, lockdown car antenna</b> <ul>  <li>Suits Ford Falcon EF-EL (08/94-08/98)</li> <li>5 section stainless steel mast</li> <li>Top key lockdown</li>  <li>Extends to 100cm</li>  <li>Cable Length: 53cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>"
164130	AP259	INTERNAL MOUNT WINDOW AERIAL	CAR WINDOW STRIP AERPRO	AERPRO	AP259	Internal mount window strip car antenna.	High gain amplified AM/FM antenna	24cm adhesive strip attaches to inner edge of vehicle's window	12V DC amplifier	Cable Length: 259cm	12 Month Warranty			0	10	1	9.9	2	9.8	3	9.7	3	19-Apr-18						EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0.117	9.31711E+12		"<b>Internal mount window strip car antenna</b> <ul>  <li>High gain amplified AM/FM antenna</li> <li>24cm adhesive strip attaches to inner edge of vehicle's window</li>  <li>12V DC amplifier</li>  <li>Cable Length: 259cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>"
164135	AP265	REPLACEMENT MAST SUIT HOLDEN	VY2/VZ AERPRO	AERPRO	AP265	AP265 replacement mast suit Holden VY2/VZ.	5 section stainless steel mast	Extends to 98cm	Mast Diameter: 10mm	Sleeve Diameter: 11mm	Extends to 98cm			0	10	1	9.9	2	9.8	3	9.7	3							EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0.16			"<b>AP265 replacement mast suit Holden VY2/VZ</b> <ul>   <li>5 section stainless steel mast<br />  </li>   <li>Extends to 98cm<br />   </li>   <li>Mast Diameter: 10mm<br />  </li>   <li>Retracted Length: 205mm<br />  </li>   <li>Sleeve Diameter: 11mm<br />  </li>   <li>Sleeve Length: 60mm<br />  </li>   <li>Packed in hang sell, full colour blister <br />  <br />   </li>  </ul>  </body>  </html>"
167068	AP172	CAR TELEVISION AERIAL		AERPRO	AP172	"AP172 TV Antenna, 1 pce film type Stick on antenna."	No diversity box required	"Plugs straight into TV tuner via ""F"" Connector"	Simple application replacing unsightly external TV antennas	"39.6cm Wide, 8.7cm High"	Cable Length: 3 metres			0	10	1	9.9	2	9.8	3	9.7	3							EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0.184			"<b>AP172 TV Antenna, 1 pce film type Stick on antenna</b>  <li> No diversity box required<br />  </li>   <li>Plugs straight into TV tuner via &quot;F&quot; Connector<br />   </li>   <li>Simple application replacing unsightly external TVantennas<br />   </li>   <li>39.6cm Wide, 8.7cm High<br />  </li>   <li>Cable Length: 3 metres<br />  </li>   <li>Packed in hang sell, full colour blister<br />  </li>"
169092	M3P	840MM AM/FM & RADIO AERIAL	MOBILE ONE	MOBILE ONE		Antenna receiving AM & FM frequencies of AM 525kHz-1.6MHz and FM 88-108MHz.	Excellent performing short antenna suitable for all mounting positions on vehicles							0	10	1	9.9	3	9.8	5	9.7	3	Soon						EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0.215			"<div id=""rpgdesc"">  <span style=""font-weight: bold;"">M3P AM FM Antenna</span> <ul>   <li>Antenna receiving AM &amp; FM frequencies of AM 525-1705kHz and FM 88-108MHz.</li>  <li>Excellent performing short antenna suitable for all mounting positions on vehicles</li>  <li>Includes: APN16 - 1.6m long cable and base</li> </ul>  </div>  </html>"
169093	M2P	1520MM AM / FM RADIO AERIAL	BEST FOR FM - MOBILE ONE	MOBILE ONE	M2P	Antenna receiving AM & FM frequencies of AM 525kHz-1.6MHz and FM 88-108MHz providing 2dB Gain on FM.	The M2p is supplied with a APN16 Base & 1.6m long RG62 coax and plug	This is the best performing AM/FM antenna on the market						0	10	1	9.9	3	9.8	5	9.7	3							EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0	0.302	9.32399E+12		"<span style=""font-weight: bold;"">M2P AM FM ANTENNA</span> <ul>   <li>Antenna receiving AM &amp; FM frequencies of AM 525kHz-1.6MHz and FM 88-108MHz providing 2dB Gain on FM</li> <li>The M2p is supplied with a APN16 Base &amp; 1.6m long RG62 coax and plug</li>   <li>This is the best performing AM/FM antenna on the market<br>   </li>  </ul>"
201510	AP332	20CM RIGHT ANGLE CAR AERIAL	EXTENSION LEAD AERPRO	AERPRO	AP332	"Antenna Extension Cable, 90� Plug, 200mm."	20cm long with right-angled plug	Makes for easy installation where there is limited space behind the radio						0	10	1	9.9	3	9.8	5	9.7	3							EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0	0.049	9.31711E+12		"<B>Antenna Extension Cable, 90&#176 Plug, 200mm</B> <ul>  <li>20cm long with right-angled plug. Makes for easy installation where there is limited space behind the radio.</li>  <li>Packed in hang-sell, full colour blister</li> </ul>"
202005	AP334	1M CAR AERIAL EXTENSION LEAD		AERPRO	AP334	"1 metre antenna extension cable, ideal for when the antenna lead won't reach the radio."								0	10	1	9.9	3	9.8	5	9.7	3							EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0	0.07	9.31711E+12		"<b>Antenna Extension Cable, 1 Metre</b> <ul>  <li>1 metre antenna extension cable, ideal for when the antenna lead won&apos;t reach the radio</li> </ul>"
202030	AP336	3M CAR AERIAL EXTENSION LEAD		AERPRO	AP336	"3 Metre antenna extension cable, ideal for when the antenna lead won't reach the radio."								0	10	1	9.9	3	9.8	5	9.7	3							EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0	0.125	9.31711E+12		"<b>Antenna Extension Cable, 3 Metre</b> <ul>  <li>3 metre antenna extension cable, ideal for when the antenna lead won&apos;t reach the radio</li> </ul>"
202401	CBA28	25MM AERIAL HOLE COVER / PLUG	SEALOPLUG	AERPRO	CBA28	Designed to easily conceal mounting holes in your vehicle.	Neat appearance							0	10	1	9.9	3	9.8	5	9.7	3							EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0	0.032	9.31711E+12		<b>25mm Antenna Hole Cover</b> <ul>  <li>Designed to easily conceal mounting holes in your vehicle</li>  <li>Neat appearance</li>  <li>Packed in full colour blister</li> </ul>
203001	CAS4	LINE SOCKET FOR CAR AERIAL			N-4296	Solderless clamp-style design.								0	10	1	9.9	3	9.8	5	9.7	3							EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0	0.008	9.3282E+12		<b>Car Antenna Line Socket</b> <ul>  <li>Solderless clamp-style design</li> </ul>
203401	CAP2	LINE PLUG FOR CAR AERIAL			N-4294	Solderless clamp-style design.								0	10	1	9.9	3	9.8	5	9.7	3							EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0	0.009	9.31924E+12		<b>Car Antenna Line Plug</b>  <ul>  <li>Solderless clamp-style design</li> </ul>
